#,Full Name,FullTeamName,Pos.,Ht.,Year,Hometown,userteam,FantasyPts_sum,FantasyPts_mean,rank_pos,rank_global,GP,MIN_mean,PTS_mean,REB_mean,AST_mean,STL_mean,BLK_mean,3PM_mean,3PA_mean,FTM_mean,TO_mean,FGM_mean,FGA_mean,OREB_sum,OREB_mean,DREB_sum,DREB_mean,MIN_sum,PTS_sum,REB_sum,AST_sum,STL_sum,BLK_sum,TO_sum,FGM_sum,FGA_sum,3PM_sum,3PA_sum,FTM_sum,FTA_sum,FTA_mean,Previous School,clean_name,Player,Team_prev,Previous Conf,Team,NewTeam,NewConf,ImageURL
12,Sophie Glancey,Santa Clara Broncos,F,6-2,Gr.,"Boise, ID",UserTeam1,25.0,25.0,4.0,20.5,1.0,10.0,11.0,5.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,5.0,7.0,3.0,3.0,2.0,2.0,10.0,11.0,5.0,1.0,0.0,2.0,0.0,5.0,7.0,0.0,1.0,1.0,4.0,4.0,0,sophie glancey,Sophie Glancey,Northern Ariz.,Big Sky,santa clara,Santa Clara,WCC,https://santaclarabroncos.com/images/2025/9/18/glancey_sophieDJR13209_dcKrR.JPG?width=80&quality=90
23,Ashley Hawkins,Santa Clara Broncos,G,5-6,Gr.,"Long Beach, CA",UserTeam2,47.0,47.0,1.0,2.0,1.0,22.0,16.0,8.0,6.0,2.0,0.0,4.0,9.0,2.0,1.0,5.0,11.0,1.0,1.0,7.0,7.0,22.0,16.0,8.0,6.0,2.0,0.0,1.0,5.0,11.0,4.0,9.0,2.0,2.0,2.0,0,ashley hawkins,Ashley Hawkins,Gardner-Webb,Big South,santa clara,Santa Clara,WCC,https://santaclarabroncos.com/images/2025/9/18/hawkins_ashleyDJR13268.JPG?width=80&quality=90
55,Maya Hernandez,Loyola Marymount Lions,F,6-0,Jr.,"San Jose, CA",UserTeam3,0.0,0.0,32.0,105.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,maya hernandez,Maya Hernandez,Loyola Marymount,WCC,lmu,0,0,https://d2vhz6gv4pigvw.cloudfront.net/images/2025/10/2/Maya_Hernandez.jpg?width=80&quality=90
0,Jess Lawson,Loyola Marymount Lions,G,5-7,Gr.,"Las Vegas, NV",UserTeam4,0.0,0.0,65.5,105.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Central Michigan,jess lawson,Jess Lawson,Central Mich.,MAC,lmu,LMU (CA),WCC,https://d2vhz6gv4pigvw.cloudfront.net/images/2025/10/2/Jess_Lawson.jpg?width=80&quality=90
30,Catarina Ferreira,Oregon State Beavers,G,6-0,Gr.,"Sao Paulo, Brazil",UserTeam5,0.0,0.0,65.5,105.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,catarina ferreira,Catarina Ferreira,Oregon State,WCC,osu,0,0,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Foregonstate.sidearmsports.com%2Fimages%2F2024%2F10%2F2%2FWBB_Headshot-7.jpg&width=603&height=803&gravity=north&type=webp
20,Taylor Smith,Gonzaga Bulldogs,F,6-2,Jr.,"Pocatello, ID",UserTeam6,0.0,0.0,32.0,105.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Weber State,taylor smith,Taylor Smith,Weber St.,Big Sky,gonzaga,Gonzaga,WCC,https://d2jpxbzntgxotn.cloudfront.net/images/2025/9/10/taylor_smith-1502.JPG?width=80&quality=90
11,Allie Turner,Gonzaga Bulldogs,G,5-8,So.,"St. Louis, MO",UserTeam6,0.0,0.0,65.5,105.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,John Burroughs HS,allie turner,Allie Turner,Gonzaga,WCC,gonzaga,0,0,https://d2jpxbzntgxotn.cloudfront.net/images/2025/9/10/new_allie_pic.JPG?width=80&quality=90
23,Candy Edokpaigbe,San Francisco Dons,G,6-0,So.,"Naples, Italy",UserTeam5,0.0,0.0,65.5,105.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Seattle U,candy edokpaigbe,Candy Edokpaigbe,Seattle U,WAC,usf,San Francisco,WCC,https://drtye9aslmeh1.cloudfront.net/images/2025/10/14/23_Candy_Edkopaigbe_Headshot.jpg?width=80&quality=90
1,Kennedie Shuler,Oregon State Beavers,G,5-10,Jr.,"Gresham, OR",UserTeam4,0.0,0.0,65.5,105.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,kennedie shuler,Kennedie Shuler,Oregon State,WCC,osu,0,0,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Foregonstate.sidearmsports.com%2Fimages%2F2024%2F10%2F2%2FWBB_Headshot-2.jpg&width=603&height=803&gravity=north&type=webp
2,Eleonora Villa,Washington State Cougars,G,5-8,Jr.,"Lissone, Italy",UserTeam3,32.0,32.0,7.5,10.5,1.0,38.0,24.0,2.0,3.0,2.0,0.0,2.0,6.0,2.0,4.0,10.0,19.0,1.0,1.0,1.0,1.0,38.0,24.0,2.0,3.0,2.0,0.0,4.0,10.0,19.0,2.0,6.0,2.0,4.0,4.0,Costa Masnaga,eleonora villa,Eleonora Villa,Washington State,WCC,wsu,0,0,https://d1gp0cqcpext3x.cloudfront.net/images/2025/10/9/Villa__Eleonora.png?width=80&quality=90
4,Sierra Lichtie,Gonzaga Bulldogs,F,6-0,Gr.,"Riverton, UT",UserTeam2,0.0,0.0,32.0,105.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cal Poly,sierra lichtie,Sierra Lichtie,Cal Poly,Big West,gonzaga,Gonzaga,WCC,https://d2jpxbzntgxotn.cloudfront.net/images/2025/9/10/sierra_lichtie-8103.JPG?width=80&quality=90
10,Sydney Ward,Pacific Tigers,G/F,6-0,Sr.,"Houston, TX",UserTeam1,26.0,26.0,1.0,17.5,1.0,27.0,13.0,6.0,3.0,0.0,2.0,2.0,5.0,3.0,3.0,4.0,9.0,2.0,2.0,4.0,4.0,27.0,13.0,6.0,3.0,0.0,2.0,3.0,4.0,9.0,2.0,5.0,3.0,4.0,4.0,The Village,sydney ward,Sydney Ward,Pacific,WCC,pacific,0,0,https://pacifictigers.com/images/2025/10/20/Sydney_Ward.png?width=80&quality=90
9,Maia Jones,Santa Clara Broncos,G,5-10,R-Jr.,"Tasman, New Zealand",UserTeam1,24.0,24.0,17.0,23.5,1.0,18.0,14.0,1.0,3.0,1.0,0.0,2.0,6.0,0.0,2.0,6.0,11.0,0.0,0.0,1.0,1.0,18.0,14.0,1.0,3.0,1.0,0.0,2.0,6.0,11.0,2.0,6.0,0.0,0.0,0.0,0,maia jones,Maia Jones,St. Mary's (CA),WCC,santa clara,0,0,https://santaclarabroncos.com/images/2025/9/18/jones_maiaDJR13254.JPG?width=80&quality=90
30,Kylee Fox,Santa Clara Broncos,F,5-11,Jr.,"Richland, WA",UserTeam2,51.0,51.0,1.0,1.0,1.0,23.0,18.0,7.0,4.0,2.0,0.0,4.0,5.0,0.0,0.0,7.0,12.0,2.0,2.0,5.0,5.0,23.0,18.0,7.0,4.0,2.0,0.0,0.0,7.0,12.0,4.0,5.0,0.0,0.0,0.0,0,kylee fox,Kylee Fox,Fresno St.,MWC,santa clara,Santa Clara,WCC,https://santaclarabroncos.com/images/2025/9/18/fox_kyleeDJR13231_lFMvf.JPG?width=80&quality=90
22,Lina Falk,Pepperdine Waves,G,6-2,Jr.,"Wolfenbüttel, Germany",UserTeam3,15.0,15.0,25.0,40.0,1.0,11.0,6.0,4.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,3.0,5.0,1.0,1.0,3.0,3.0,11.0,6.0,4.0,0.0,1.0,1.0,1.0,3.0,5.0,0.0,2.0,0.0,0.0,0.0,Sacramento State,lina falk,Lina Falk,Sacramento St.,Big Sky,pepperdine,Pepperdine,WCC,https://daitadul56i2n.cloudfront.net/images/2025/9/26/22_lina.jpg?width=80&quality=90
13,Malia Latu,Saint Mary's Gaels,G,5-8,Gr.,"East Palo Alto, CA",UserTeam4,1.0,1.0,41.0,66.5,1.0,14.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,14.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,Santa Clara,malia latu,Malia Latu,Santa Clara,WCC,smc,0,0,https://duq7p5k7s6jsa.cloudfront.net/images/2025/7/8/Malia_Latu_Summer_Headshot.png?width=80&quality=90
55,Zeryhia Aokuso,Gonzaga Bulldogs,G,5-10,Jr.,"Amarillo, TX",UserTeam5,0.0,0.0,65.5,105.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Saint Mary's,zeryhia aokuso,Zeryhia Aokuso,St. Mary's (CA),WCC,gonzaga,0,0,https://d2jpxbzntgxotn.cloudfront.net/images/2025/9/10/zerhyia_aokuso-7494.JPG?width=80&quality=90
33,Alex Covill,Washington State Cougars,C,6-6,Jr.,"Missoula, Mont.",UserTeam6,3.0,3.0,3.0,59.0,1.0,12.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,2.0,2.0,1.0,1.0,12.0,2.0,3.0,2.0,0.0,0.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,Missoula Hellgate HS,alex covill,Alex Covill,Washington State,WCC,wsu,0,0,https://d1gp0cqcpext3x.cloudfront.net/images/2025/10/9/Covill__Alex.png?width=80&quality=90
3,Ella Brubaker,Seattle U Redhawks,G,6-0,Graduate Student,"University Place, WA",UserTeam4,12.0,12.0,30.0,46.0,1.0,24.0,8.0,4.0,2.0,0.0,1.0,2.0,4.0,0.0,3.0,3.0,9.0,2.0,2.0,2.0,2.0,24.0,8.0,4.0,2.0,0.0,1.0,3.0,3.0,9.0,2.0,4.0,0.0,0.0,0.0,The Master's / Pepperdine,ella brubaker,Ella Brubaker,Pepperdine,WCC,seattle,Seattle U,WCC,https://goseattleu.com/imgproxy/8wjRPnIdRZZIbDOXp3TME-SUmsnEUYX3bvwlw-7XL-4/rs:fit:1980:0:0/g:ce/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL2dvc2VhdHRsZXUtY29tLXByb2QvMjAyNS8xMC8wOS9NUEZSb0RjVmpqaFFvcktheXN5YnBnY2cwQmNOSGRjR1RyWGk2MXFVLnBuZw.png
21,Olivia Williams,San Francisco Dons,G,6-1,R-Sr.,"South San Francisco, Calif.",UserTeam3,0.0,0.0,65.5,105.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UC Irvine,olivia williams,Olivia Williams,UC Irvine,Big West,usf,San Francisco,WCC,https://drtye9aslmeh1.cloudfront.net/images/2025/10/14/21_Olivia_Williams_Headshot.jpg?width=80&quality=90
0,Tiara Bolden,Oregon State Beavers,G,5-11,Gr.,"Eugene, OR",UserTeam5,0.0,0.0,65.5,105.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,tiara bolden,Tiara Bolden,Oregon State,WCC,osu,0,0,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Foregonstate.sidearmsports.com%2Fimages%2F2024%2F10%2F2%2FWBB_Headshot-9.jpg&width=603&height=803&gravity=north&type=webp
2,Mara Neira,San Francisco Dons,G,5-9,Gr.,"Baiona, Spain",UserTeam3,0.0,0.0,65.5,105.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Presbyterian/Appalachian State,mara neira,Mara Neira,App State,Sun Belt,usf,San Francisco,WCC,https://drtye9aslmeh1.cloudfront.net/images/2025/10/14/2_Mara_Neira_Headshot.jpg?width=80&quality=90
8,Ines Bettencourt,Gonzaga Bulldogs,G,5-9,Sr.,"Sao Miguel, Portugal",UserTeam2,0.0,0.0,65.5,105.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UConn,ines bettencourt,Ines Bettencourt,Gonzaga,WCC,gonzaga,0,0,https://d2jpxbzntgxotn.cloudfront.net/images/2025/9/10/ines_bettencourt-6446.JPG?width=80&quality=90
25,Winner Bartholomew,Pacific Tigers,F,6-1,So.,"Abuja, Nigeria",UserTeam4,21.0,21.0,6.0,27.0,1.0,27.0,6.0,9.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,8.0,2.0,2.0,7.0,7.0,27.0,6.0,9.0,1.0,2.0,0.0,1.0,3.0,8.0,0.0,0.0,0.0,2.0,2.0,Rider,winner bartholomew,Winner Bartholomew,Rider,MAAC,pacific,Pacific,WCC,https://pacifictigers.com/images/2025/10/20/Winner_Bartholomew.png?width=80&quality=90
9,Marina Radocaj,Pacific Tigers,G/F,6-3,Jr.,"Richmond, Canada",UserTeam3,21.0,21.0,3.0,27.0,1.0,32.0,6.0,10.0,2.0,1.0,1.0,0.0,0.0,0.0,6.0,3.0,3.0,1.0,1.0,9.0,9.0,32.0,6.0,10.0,2.0,1.0,1.0,6.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,Arizona State / R.A. McMath Secondary School,marina radocaj,Marina Radocaj,Pacific,WCC,pacific,0,0,https://pacifictigers.com/images/2025/10/20/Marina_Radocaj.png?width=80&quality=90
28,Andjela Matic,Loyola Marymount Lions,G,5-9,Sr.,"Ub, Serbia",UserTeam6,0.0,0.0,65.5,105.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Duquesne,andjela matic,Andjela Matic,Duquesne,A-10,lmu,LMU (CA),WCC,https://d2vhz6gv4pigvw.cloudfront.net/images/2025/10/2/Andjela_Matic.jpg?width=80&quality=90
10,Georgia Grigoropoulou,Saint Mary's Gaels,F,6-3,Sr.,"Athens, Greece",UserTeam4,4.0,4.0,13.0,56.0,1.0,7.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,1.0,1.0,1.0,1.0,7.0,4.0,2.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,2.0,2.0,Santa Clara,georgia grigoropoulou,Georgia Grigoropoulou,Santa Clara,WCC,smc,0,0,https://duq7p5k7s6jsa.cloudfront.net/images/2025/7/8/Georgia_Grigoropoulou_Summer_Headshot.png?width=80&quality=90
2,Aniya Hooker,Santa Clara Broncos,G,5-8,So.,"Lynnwood, WA",UserTeam6,25.0,25.0,15.5,20.5,1.0,23.0,4.0,2.0,5.0,1.0,1.0,0.0,2.0,2.0,0.0,1.0,4.0,0.0,0.0,2.0,2.0,23.0,4.0,2.0,5.0,1.0,1.0,0.0,1.0,4.0,0.0,2.0,2.0,2.0,2.0,0,aniya hooker,Aniya Hooker,Siena,MAAC,santa clara,Santa Clara,WCC,https://santaclarabroncos.com/images/2025/9/18/hooker_aniyaDJR13246.JPG?width=80&quality=90
0,Ivory Finley,Pepperdine Waves,G,5-10,Gr.,"Minneapolis, MN",UserTeam6,35.0,35.0,4.5,7.0,1.0,23.0,17.0,5.0,2.0,2.0,0.0,3.0,6.0,0.0,2.0,7.0,10.0,3.0,3.0,2.0,2.0,23.0,17.0,5.0,2.0,2.0,0.0,2.0,7.0,10.0,3.0,6.0,0.0,2.0,2.0,Utah State,ivory finley,Ivory Finley,Utah St.,MWC,pepperdine,Pepperdine,WCC,https://daitadul56i2n.cloudfront.net/images/2025/9/26/0_ivory.jpg?width=80&quality=90
8,Mackenzie Chatfield,Washington State Cougars,G,5-9,Jr.,"Auckland, New Zealand",UserTeam5,13.0,13.0,28.5,44.5,1.0,30.0,5.0,3.0,4.0,1.0,0.0,0.0,0.0,1.0,4.0,2.0,4.0,1.0,1.0,2.0,2.0,30.0,5.0,3.0,4.0,1.0,0.0,4.0,2.0,4.0,0.0,0.0,1.0,4.0,4.0,Western Kentucky,mackenzie chatfield,Mackenzie Chatfield,Western Ky.,CUSA,wsu,Washington St.,WCC,https://d1gp0cqcpext3x.cloudfront.net/images/2025/10/9/Chatfield__Mackenzie.png?width=80&quality=90
5,Abigail Shoff,Saint Mary's Gaels,F,6-0,Jr.,"Redding, CA",UserTeam4,18.0,18.0,9.0,35.0,1.0,24.0,8.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,1.0,1.0,2.0,2.0,24.0,8.0,3.0,2.0,0.0,0.0,0.0,4.0,7.0,0.0,0.0,0.0,1.0,1.0,Long Beach State,abigail shoff,Abigail Shoff,St. Mary's (CA),WCC,smc,0,0,https://duq7p5k7s6jsa.cloudfront.net/images/2024/10/5/Abigail_Shoff.png?width=80&quality=90
8,Emily Foy,Saint Mary's Gaels,G,6-1,Jr.,"Newcastle, Australia",UserTeam3,1.0,1.0,41.0,66.5,1.0,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,12.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,emily foy,Emily Foy,St. Mary's (CA),WCC,smc,0,0,https://duq7p5k7s6jsa.cloudfront.net/images/2024/10/5/Emily_Foy.png?width=80&quality=90
17,Nicole Anderson,Portland Pilots,G,5-8,Gr.,"Eastvale, CA",UserTeam1,1.0,1.0,41.0,66.5,1.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,LMU / SMU / Rosary Academy,nicole anderson,Nicole Anderson,SMU,ACC,portland,Portland,WCC,https://portlandpilots.com/images/2025/10/15/Rodriguez_Nicole26web.JPG?width=80&quality=90
14,Michelle Ugwah,San Francisco Dons,F,6-1,R-So.,"Cork, Ireland",UserTeam6,0.0,0.0,32.0,105.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Morehead State,michelle ugwah,Michelle Ugwah,Morehead St.,OVC,usf,San Francisco,WCC,https://drtye9aslmeh1.cloudfront.net/images/2025/10/14/14_Michelle_Ugwah_Headshot.jpg?width=80&quality=90
21,Aaliyah Ibarra,Seattle U Redhawks,G,5-8,Senior,"Las Vegas, NV",UserTeam5,-3.0,-3.0,90.0,144.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,Utah Tech,aaliyah ibarra,Aaliyah Ibarra,Utah Tech,WAC,seattle,Seattle U,WCC,https://goseattleu.com/imgproxy/_TvXo-Wd26emOYoDBaIWFf6n66GR8yidVSZMwYhfao4/rs:fit:1980:0:0/g:ce/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL2dvc2VhdHRsZXUtY29tLXByb2QvMjAyNS8xMC8wOS91UE5TTnZHY2JrQ1J6WWlkTXVwZE9Ta1J3Q1pnWUkxeE9nN1RSa2VCLnBuZw.png
