#,Full Name,FullTeamName,Team,Pos.,Ht.,Year,Hometown,Previous School,ImageURL,clean_name,ADP
12,Sophie Glancey,Santa Clara Broncos,santa clara,F,6-2,Gr.,"Boise, ID",,https://santaclarabroncos.com/images/2025/9/18/glancey_sophieDJR13209_dcKrR.JPG?width=80&quality=90,sophie glancey,133
13,Ava Schmidt,Santa Clara Broncos,santa clara,F,6-2,Jr.,"Sammamish, WA",,https://santaclarabroncos.com/images/2025/9/18/schmidt_avaDJR13235.JPG?width=80&quality=90,ava schmidt,39
20,Delainey Miller,Santa Clara Broncos,santa clara,G,5-10,Fr.,"Aurora, CO",,https://santaclarabroncos.com/images/2025/9/18/miller_delaneyDJR13189.JPG?width=80&quality=90,delainey miller,151
23,Ashley Hawkins,Santa Clara Broncos,santa clara,G,5-6,Gr.,"Long Beach, CA",,https://santaclarabroncos.com/images/2025/9/18/hawkins_ashleyDJR13268.JPG?width=80&quality=90,ashley hawkins,146
24,Reilly Clark,Santa Clara Broncos,santa clara,G,5-10,R-So.,"Tucson, AZ",,https://santaclarabroncos.com/images/2025/9/18/clark_reillyDJR13192.JPG?width=80&quality=90,reilly clark,53
30,Kylee Fox,Santa Clara Broncos,santa clara,F,5-11,Jr.,"Richland, WA",,https://santaclarabroncos.com/images/2025/9/18/fox_kyleeDJR13231_lFMvf.JPG?width=80&quality=90,kylee fox,149
34,Tyler Gildersleeve-Stiles,Santa Clara Broncos,santa clara,F,6-1,Fr.,"Snohomish, WA",,https://images.sidearmdev.com/resize?url=https%3a%2f%2fdbukjj6eu5tsf.cloudfront.net%2fsidearm.sites%2fsantaclara.sidearmsports.com%2fimages%2f2025%2f9%2f18%2fgildersleevestiles_tylerDJR13266_mSdFb.JPG&width=80&type=webp&quality=90,tyler gildersleeve-stiles,16
0,Jada Hunter,Saint Mary's Gaels,smc,G,5-10,Jr.,"Vallejo, CA",Laney College,https://duq7p5k7s6jsa.cloudfront.net/images/2024/10/5/Jada_Hunter.png?width=80&quality=90,jada hunter,79
2,Amy Kurkowski,Saint Mary's Gaels,smc,G,6-1,So.,"Melbourne, Australia",,https://duq7p5k7s6jsa.cloudfront.net/images/2024/10/5/Amy_Kurkowski.png?width=80&quality=90,amy kurkowski,23
3,Mauriana Hashemian-Orr,Saint Mary's Gaels,smc,G,5-7,So.,"Portland, OR",,https://duq7p5k7s6jsa.cloudfront.net/images/2024/10/17/MHO.jpg?width=80&quality=90,mauriana hashemian-orr,111
4,Charlece Ohiaeri,Saint Mary's Gaels,smc,G,6-1,Jr.,"Las Vegas, NV",Depaul,https://duq7p5k7s6jsa.cloudfront.net/images/2025/7/8/Charlece_Ohiaeri_Summer_Headshot.png?width=80&quality=90,charlece ohiaeri,140
5,Abigail Shoff,Saint Mary's Gaels,smc,F,6-0,Jr.,"Redding, CA",Long Beach State,https://duq7p5k7s6jsa.cloudfront.net/images/2024/10/5/Abigail_Shoff.png?width=80&quality=90,abigail shoff,138
7,Edie Clarke,Saint Mary's Gaels,smc,F,6-4,So.,"Melbourne, Australia",,https://duq7p5k7s6jsa.cloudfront.net/images/2024/10/5/Edie_Clarke.png?width=80&quality=90,edie clarke,51
8,Emily Foy,Saint Mary's Gaels,smc,G,6-1,Jr.,"Newcastle, Australia",,https://duq7p5k7s6jsa.cloudfront.net/images/2024/10/5/Emily_Foy.png?width=80&quality=90,emily foy,159
10,Georgia Grigoropoulou,Saint Mary's Gaels,smc,F,6-3,Sr.,"Athens, Greece",Santa Clara,https://duq7p5k7s6jsa.cloudfront.net/images/2025/7/8/Georgia_Grigoropoulou_Summer_Headshot.png?width=80&quality=90,georgia grigoropoulou,106
11,Coco Urlacher,Saint Mary's Gaels,smc,G,5-10,Fr.,"Palatine, IL",,https://duq7p5k7s6jsa.cloudfront.net/images/2025/7/8/Coco_Urlacher_Summer_Headshot.png?width=80&quality=90,coco urlacher,44
13,Malia Latu,Saint Mary's Gaels,smc,G,5-8,Gr.,"East Palo Alto, CA",Santa Clara,https://duq7p5k7s6jsa.cloudfront.net/images/2025/7/8/Malia_Latu_Summer_Headshot.png?width=80&quality=90,malia latu,68
22,Melesungu Afeaki,Saint Mary's Gaels,smc,F,6-2,Sr.,"San Bruno, CA",University of San Diego,https://duq7p5k7s6jsa.cloudfront.net/images/2024/10/5/Melesungu_Afeaki.png?width=80&quality=90,melesungu afeaki,118
23,Addi Wedin,Saint Mary's Gaels,smc,G,5-10,R-Jr.,"Happy Valley, OR",,https://duq7p5k7s6jsa.cloudfront.net/images/2024/10/17/AW.jpg?width=80&quality=90,addi wedin,76
24,Colleena Bryant,Saint Mary's Gaels,smc,G,5-7,Fr.,"Detroit, MI",,https://duq7p5k7s6jsa.cloudfront.net/images/2025/7/8/Colleena_Bryant_Summer_Headshot.png?width=80&quality=90,colleena bryant,83
33,Ella Wedin,Saint Mary's Gaels,smc,G,6-1,R-So.,"Happy Valley, OR",LMU,https://duq7p5k7s6jsa.cloudfront.net/images/2024/10/5/Ella_Wedin.png?width=80&quality=90,ella wedin,57
2,Mali Ennis,Pacific Tigers,pacific,G,5-10,Sr.,"Burlingame, CA",Saint Mary's College,https://pacifictigers.com/images/2025/10/20/Mali_Ennis.png?width=80&quality=90,mali ennis,74
3,Hannah Burg,Pacific Tigers,pacific,G,5-6,Sr.,"Colorado Springs, CO",Augustana (SD),https://pacifictigers.com/images/2025/10/20/Hannah_Burg.png?width=80&quality=90,hannah burg,107
5,Stella Szabo,Pacific Tigers,pacific,G,5-11,R-So.,"Stockholm, Sweden",Luleaa Gymnasieskola,https://pacifictigers.com/images/2025/10/20/Stella_Szabo.png?width=80&quality=90,stella szabo,16
7,Liv Yergensen,Pacific Tigers,pacific,G,5-11,Fr.,"El Dorado Hills, CA",Oak Ridge HS,https://pacifictigers.com/images/2025/10/20/Liv_Yergensen.png?width=80&quality=90,liv yergensen,96
8,Sophia Mindermann,Pacific Tigers,pacific,G,5-10,Fr.,"Folsom, CA",Folsom HS,https://pacifictigers.com/images/2025/10/20/Sophia_Mindermann.png?width=80&quality=90,sophia mindermann,155
9,Marina Radocaj,Pacific Tigers,pacific,G/F,6-3,Jr.,"Richmond, Canada",Arizona State / R.A. McMath Secondary School,https://pacifictigers.com/images/2025/10/20/Marina_Radocaj.png?width=80&quality=90,marina radocaj,151
10,Sydney Ward,Pacific Tigers,pacific,G/F,6-0,Sr.,"Houston, TX",The Village,https://pacifictigers.com/images/2025/10/20/Sydney_Ward.png?width=80&quality=90,sydney ward,32
11,Luisa Anderegg,Pacific Tigers,pacific,F,6-2,Sr.,"Cologne, Germany",Midland College,https://pacifictigers.com/images/2025/10/20/Luisa_Anderegg.png?width=80&quality=90,luisa anderegg,31
15,Nyah Lowery,Pacific Tigers,pacific,G,5-11,Jr.,"Sacramento, CA",Saint Mary's,https://pacifictigers.com/images/2025/10/20/Nyah_Lowery.png?width=80&quality=90,nyah lowery,120
21,Daria Nestorov,Pacific Tigers,pacific,G,5-4,So.,"Zrenjanin, Serbia",Gymnasium Kraljevo,https://pacifictigers.com/images/2025/10/20/Daria_Nestorov.png?width=80&quality=90,daria nestorov,145
23,Kenlee Durrill,Pacific Tigers,pacific,G,5-10,R-So.,"Denver, CO",Flat Irons,https://pacifictigers.com/images/2025/10/20/Kenlee_Durrill.png?width=80&quality=90,kenlee durrill,153
24,LaMiracle Lebon,Pacific Tigers,pacific,F,6-3,Fr.,"Columbus, MS",Vanden HS,https://pacifictigers.com/images/2025/10/20/LaMiracle_Lebon.png?width=80&quality=90,lamiracle lebon,26
25,Winner Bartholomew,Pacific Tigers,pacific,F,6-1,So.,"Abuja, Nigeria",Rider,https://pacifictigers.com/images/2025/10/20/Winner_Bartholomew.png?width=80&quality=90,winner bartholomew,155
32,Tyla Fautua,Pacific Tigers,pacific,F,6-0,So.,"Brisbane, Australia",Southern Districts Spartans,https://pacifictigers.com/images/2025/10/20/Tyla_Fautua.png?width=80&quality=90,tyla fautua,50
2,Mara Neira,San Francisco Dons,usf,G,5-9,Gr.,"Baiona, Spain",Presbyterian/Appalachian State,https://drtye9aslmeh1.cloudfront.net/images/2025/10/14/2_Mara_Neira_Headshot.jpg?width=80&quality=90,mara neira,43
3,Noelia Mourino,San Francisco Dons,usf,F,6-2,Fr.,"O Porrino, Spain",Segle XXI Barcelona,https://drtye9aslmeh1.cloudfront.net/images/2025/10/14/3_Noelia_Mourino_Headshot.jpg?width=80&quality=90,noelia mourino,10
4,Meghan McIntyre,San Francisco Dons,usf,G,5-6,Gr.,"Garden Grove, Calif.",Southern Oregon/Orange Coast CC/Golden West CC,https://drtye9aslmeh1.cloudfront.net/images/2025/10/14/4_Meghan_McIntyre_Headshot.jpg?width=80&quality=90,meghan mcintyre,35
7,Nevaeh Ferrara Horne,San Francisco Dons,usf,F,6-2,Jr.,"Regina, Saskatchewan, Canada",North Dakota,https://drtye9aslmeh1.cloudfront.net/images/2025/10/14/7_Nevaeh_Ferrera_Horne_Headshot.jpg?width=80&quality=90,nevaeh ferrara horne,35
9,Aina Cargol,San Francisco Dons,usf,G,5-9,Fr.,"Olot, Spain",Spar Girona,https://drtye9aslmeh1.cloudfront.net/images/2025/10/14/9_Aina_Cargol_Headshot.jpg?width=80&quality=90,aina cargol,94
10,Amy Pateman,San Francisco Dons,usf,G,5-8,Fr.,"Auckland, New Zealand",Westlake Girls High School,https://drtye9aslmeh1.cloudfront.net/images/2025/10/14/10_Amy_Pateman_Headshot.jpg?width=80&quality=90,amy pateman,64
12,Natasa Tausova,San Francisco Dons,usf,F,6-3,Fr.,"Poprad, Slovakia",Piestanske Cajky,https://drtye9aslmeh1.cloudfront.net/images/2025/10/14/12_Natasa_Tausova_Headshot.jpg?width=80&quality=90,natasa tausova,117
14,Michelle Ugwah,San Francisco Dons,usf,F,6-1,R-So.,"Cork, Ireland",Morehead State,https://drtye9aslmeh1.cloudfront.net/images/2025/10/14/14_Michelle_Ugwah_Headshot.jpg?width=80&quality=90,michelle ugwah,126
21,Olivia Williams,San Francisco Dons,usf,G,6-1,R-Sr.,"South San Francisco, Calif.",UC Irvine,https://drtye9aslmeh1.cloudfront.net/images/2025/10/14/21_Olivia_Williams_Headshot.jpg?width=80&quality=90,olivia williams,4
22,Paula Tirado,San Francisco Dons,usf,G,5-7,R-So.,"Mataro, Spain",IES Damia Campeny,https://drtye9aslmeh1.cloudfront.net/images/2025/10/14/22_Paula_Tirado_Headshot.jpg?width=80&quality=90,paula tirado,48
23,Candy Edokpaigbe,San Francisco Dons,usf,G,6-0,So.,"Naples, Italy",Seattle U,https://drtye9aslmeh1.cloudfront.net/images/2025/10/14/23_Candy_Edkopaigbe_Headshot.jpg?width=80&quality=90,candy edokpaigbe,34
24,Sol Castro,San Francisco Dons,usf,F,6-1,Gr.,"Rio Colorado, Argentina",Robert Morris,https://drtye9aslmeh1.cloudfront.net/images/2025/10/14/24_Sol_Castro_Headshot.jpg?width=80&quality=90,sol castro,73
32,Sophia Priestley,San Francisco Dons,usf,F,6-2,Fr.,"Oslo, Norway",Ullern IF Oslo,https://drtye9aslmeh1.cloudfront.net/images/2025/10/14/32_Sophia_Priestley_Headshot.jpg?width=80&quality=90,sophia priestley,16
1,Malvina Haziri,Washington State Cougars,wsu,G,5-9,Fr.,"Vushtrria, Kosovo",KBF Prishtina,https://d1gp0cqcpext3x.cloudfront.net/images/2025/10/9/Haziri__Malvina.png?width=80&quality=90,malvina haziri,9
2,Eleonora Villa,Washington State Cougars,wsu,G,5-8,Jr.,"Lissone, Italy",Costa Masnaga,https://d1gp0cqcpext3x.cloudfront.net/images/2025/10/9/Villa__Eleonora.png?width=80&quality=90,eleonora villa,159
5,Jean Chiu,Washington State Cougars,wsu,G,5-7,Sr.,"Taipei, Taiwan",University of Taipei,https://d1gp0cqcpext3x.cloudfront.net/images/2025/10/9/Chiu__Jean.png?width=80&quality=90,jean chiu,109
6,Tahara Magassa,Washington State Cougars,wsu,F,6-4,Fr.,"Paris, France",Saint-Amand Hainut,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/wsu.sidearmsports.com/images/responsive_2020/logo_main.svg,tahara magassa,101
8,Mackenzie Chatfield,Washington State Cougars,wsu,G,5-9,Jr.,"Auckland, New Zealand",Western Kentucky,https://d1gp0cqcpext3x.cloudfront.net/images/2025/10/9/Chatfield__Mackenzie.png?width=80&quality=90,mackenzie chatfield,32
9,Tanja Valancic,Washington State Cougars,wsu,F,6-0,Fr.,"Ljubljana, Slovenia",Akson Ilirija,https://d1gp0cqcpext3x.cloudfront.net/images/2025/10/9/Valancic__Tanja.png?width=80&quality=90,tanja valancic,105
10,Charlotte Abraham,Washington State Cougars,wsu,G,6-0,So.,"Cambrai, France",Lycee Marguerite de Flandre,https://d1gp0cqcpext3x.cloudfront.net/images/2025/10/9/Abraham__Charlotte.png?width=80&quality=90,charlotte abraham,81
12,Marta Alsina,Washington State Cougars,wsu,G,5-11,So.,"Barcelona, Spain",Institut Joaquim Blume,https://d1gp0cqcpext3x.cloudfront.net/images/2025/10/9/Alsina__Marta.png?width=80&quality=90,marta alsina,157
15,Keandra Koorits,Washington State Cougars,wsu,G/F,6-2,R-Fr.,"Tallinn, Estonia",Audentes Sports Gymnasium,https://d1gp0cqcpext3x.cloudfront.net/images/2025/10/9/Koorits__Keandra.png?width=80&quality=90,keandra koorits,100
25,Lauren Glazier,Washington State Cougars,wsu,F,6-4,Sr.,"North Bend, Wash.",Mount Si HS,https://d1gp0cqcpext3x.cloudfront.net/images/2025/10/9/Glazier__Lauren.png?width=80&quality=90,lauren glazier,8
33,Alex Covill,Washington State Cougars,wsu,C,6-6,Jr.,"Missoula, Mont.",Missoula Hellgate HS,https://d1gp0cqcpext3x.cloudfront.net/images/2025/10/9/Covill__Alex.png?width=80&quality=90,alex covill,76
55,Malia Ruud,Washington State Cougars,wsu,F,6-2,Fr.,"Pasco, Wash.",Chiawana HS,https://d1gp0cqcpext3x.cloudfront.net/images/2025/10/9/Ruud__Malia.png?width=80&quality=90,malia ruud,130
0,Goundo Diakite Bayo,Portland Pilots,portland,F,6-1,Fr.,"Barcelona, Spain",IES Carles Vallbona,https://portlandpilots.com/images/2025/10/15/Diakite_Goundoba26web.JPG?width=80&quality=90,goundo diakite bayo,68
2,Dyani Ananiev,Portland Pilots,portland,G,6-2,R-So.,"St. Andrews, Australia",Wyndham,https://portlandpilots.com/images/2025/10/15/Ananiev_Dyani26web.JPG?width=80&quality=90,dyani ananiev,129
3,Florence Dallow,Portland Pilots,portland,G,6-2,R-So.,"Auckland, New Zealand",Epsom Girls Grammar School,https://portlandpilots.com/images/2025/10/15/Dallow_Florence26web.JPG?width=80&quality=90,florence dallow,143
5,Aubrey Herrin,Portland Pilots,portland,G,6-1,Fr.,"Kennewick, WA",Kamiakin HS,https://portlandpilots.com/images/2025/10/15/Herrin_Aubrey26web.JPG?width=80&quality=90,aubrey herrin,131
7,Tiffany Barbosa,Portland Pilots,portland,G,5-10,So.,"Stockholm, Sweden",RIG Lulea,https://portlandpilots.com/images/2025/10/15/Barbosa_Tiffany26web.jpg?width=80&quality=90,tiffany barbosa,119
9,Jada Kennedy,Portland Pilots,portland,C,6-5,Fr.,"Melbourne, Australia",Siena College,https://portlandpilots.com/images/2025/10/15/Kennedy_Jada26web.JPG?width=80&quality=90,jada kennedy,71
10,Natalie Fraley,Portland Pilots,portland,G,6-0,Sr.,"Kelso, WA",Utah State / Kelso HS,https://portlandpilots.com/images/2025/10/15/Fraley_Natalie26web.JPG?width=80&quality=90,natalie fraley,73
12,Brynn Smith,Portland Pilots,portland,G,6-0,Fr.,"Eugene, OR",Willamette HS,https://portlandpilots.com/images/2025/10/15/Smith_Brynn26web.JPG?width=80&quality=90,brynn smith,55
14,Caitlin Monahan,Portland Pilots,portland,G,5-10,R-Fr.,"Mercer Island, WA",Mercer Island HS,https://portlandpilots.com/images/2025/10/15/Monahan_Caitlyn26web.JPG?width=80&quality=90,caitlin monahan,37
17,Nicole Anderson,Portland Pilots,portland,G,5-8,Gr.,"Eastvale, CA",LMU / SMU / Rosary Academy,https://portlandpilots.com/images/2025/10/15/Rodriguez_Nicole26web.JPG?width=80&quality=90,nicole anderson,66
20,Lainey Spear,Portland Pilots,portland,F,6-2,Jr.,"Portland, OR",Beaverton HS,https://portlandpilots.com/images/2025/10/15/Spear_Lainey26web.JPG?width=80&quality=90,lainey spear,126
22,Rhyan Mogel,Portland Pilots,portland,G,5-10,Jr.,"Happy Valley, OR",Clackamas HS,https://portlandpilots.com/images/2025/10/15/Mogel_Rhyan26web.JPG?width=80&quality=90,rhyan mogel,148
35,Camille Dake,Portland Pilots,portland,G,6-0,Fr.,"Vista, CA",Rancho Buena Vista HS,https://portlandpilots.com/images/2025/10/15/Dake_Camille26web.jpg?width=80&quality=90,camille dake,19
42,Ella Zimmerman,Portland Pilots,portland,F/C,6-4,So.,"Redondo Beach, CA",Redondo Union HS,https://portlandpilots.com/images/2025/10/15/Zimmerman_Ella26web.JPG?width=80&quality=90,ella zimmerman,49
44,Julia Dalan,Portland Pilots,portland,C/F,6-3,Fr.,"Centralia, WA",W.F. West HS,https://portlandpilots.com/images/2025/10/15/Dalan_Julia26web.JPG?width=80&quality=90,julia dalan,39
0,Ysabella Von Seipler,San Diego Toreros,san diego,G,5-10,Fr.,"Rocklin, CA",,https://usdtoreros.com/images/2025/10/15/Ysabella_Von_Seipler_Head_Shot.png?width=300,ysabella von seipler,68
1,Dresha Moore,San Diego Toreros,san diego,F,6-0,So.,"Hawthorne, CA",,https://usdtoreros.com/images/2025/10/15/Dresha_Moore_Headshot.png?width=80&quality=90,dresha moore,102
2,Ryanne Bahnsen-Price,San Diego Toreros,san diego,F,6-0,Fr.,"Erie, CO",,https://usdtoreros.com/images/2025/10/15/Ryanne_Bahnsen-Price_Head_Shot.png?width=300,ryanne bahnsen-price,14
3,Lilly Amor,San Diego Toreros,san diego,G,5-11,So.,"Melbourne, Victoria, Australia",,https://usdtoreros.com/images/2025/10/15/Ysabella_Von_Seipler_Head_Shot.png?width=80&quality=90,lilly amor,40
4,Jessica Ajayi,San Diego Toreros,san diego,G,5-10,Fr.,"Kent, WA",,https://usdtoreros.com/images/2025/10/15/Jessica_Ajayi_Head_Shot.png?width=80&quality=90,jessica ajayi,45
5,Lauren McCall,San Diego Toreros,san diego,G,5-6,Jr.,"Boise, ID",,https://usdtoreros.com/images/2025/10/15/Lauren_McCall_Head_Shot.png?width=80&quality=90,lauren mccall,156
6,Kylie Ray,San Diego Toreros,san diego,G,5-8,So.,"La Crescenta, CA",Utah,https://usdtoreros.com/images/2025/10/15/Kylie_Ray_Head_Shot.png?width=80&quality=90,kylie ray,143
10,Helen Holley,San Diego Toreros,san diego,F,6-1,So.,"Cleveland, OH",Michigan State,https://usdtoreros.com/images/2025/10/15/Helen_Holley_Head_Shot.png?width=80&quality=90,helen holley,8
11,Malia Tharpe,San Diego Toreros,san diego,F,6-0,Jr.,"Cottesloe, Western Australia, Australia",,https://usdtoreros.com/images/2025/10/15/Malia_Tharpe_Head_Shot.png?width=80&quality=90,malia tharpe,45
12,Erica Carr,San Diego Toreros,san diego,C,6-3,So.,"Grand Prairie, TX",,https://usdtoreros.com/images/2025/10/15/Erica_Carr_Headshot.png?width=80&quality=90,erica carr,111
15,Eva Ruse,San Diego Toreros,san diego,F,6-2,So.,"North Vancouver, British Columbia, Canada",,https://usdtoreros.com/images/2025/10/15/Eva_Ruse_Headshot.png?width=80&quality=90,eva ruse,53
19,Jayden Rhodes,San Diego Toreros,san diego,G,5-11,Sr.,"Keller, TX",Morehead State,https://usdtoreros.com/images/2025/10/15/Jayden_Rhodes_Head_Shot.png?width=80&quality=90,jayden rhodes,55
20,Hallie Rhodes,San Diego Toreros,san diego,G,5-11,Sr.,"Keller, TX",Morehead State,https://usdtoreros.com/images/2025/10/15/Hallie_Rhodes_Head_Shot.png?width=80&quality=90,hallie rhodes,145
22,Ayla Williams,San Diego Toreros,san diego,C,6-0,Fr.,"Las Vegas, NV",,https://usdtoreros.com/images/2025/10/15/Ayla_Williams_Headshot.png?width=80&quality=90,ayla williams,154
24,Olivia Owens,San Diego Toreros,san diego,G,5-10,Fr.,"Columbus, OH",,https://usdtoreros.com/images/2025/10/15/Olivia_Owens_Head_Shot.png?width=80&quality=90,olivia owens,61
