No.,Name,Pos.,Cl.,Ht.,Hometown,High School,Previous School,ImageURL,Team
2,Mali Ennis,G,Sr.,5-10,"Burlingame, Calif.",,Saint Mary's College,https://pacifictigers.com/images/2025/10/20/Mali_Ennis.png?width=80&quality=90,pacific
3,Hannah Burg,G,Sr.,5-6,"Colorado Springs, Colo.",,Augustana (SD),https://pacifictigers.com/images/2025/10/20/Hannah_Burg.png?width=80&quality=90,pacific
5,Stella Szabo,G,R-So.,5-11,"Stockholm, Sweden",Luleaa Gymnasieskola,,https://pacifictigers.com/images/2025/10/20/Stella_Szabo.png?width=80&quality=90,pacific
7,Liv Yergensen,G,Fr.,5-11,"El Dorado Hills, Calif.",Oak Ridge HS,,https://pacifictigers.com/images/2025/10/20/Liv_Yergensen.png?width=80&quality=90,pacific
8,Sophia Mindermann,G,Fr.,5-10,"Folsom, Calif.",Folsom HS,,https://pacifictigers.com/images/2025/10/20/Sophia_Mindermann.png?width=80&quality=90,pacific
9,Marina Radocaj,G/F,Jr.,6-3,"Richmond, Canada",R.A. McMath Secondary School,Arizona State,https://pacifictigers.com/images/2025/10/20/Marina_Radocaj.png?width=80&quality=90,pacific
10,Sydney Ward,G/F,Sr.,6-0,"Houston, Texas",The Village,,https://pacifictigers.com/images/2025/10/20/Sydney_Ward.png?width=80&quality=90,pacific
11,Luisa Anderegg,F,Sr.,6-2,"Cologne, Germany",,Midland College,https://pacifictigers.com/images/2025/10/20/Luisa_Anderegg.png?width=80&quality=90,pacific
15,Nyah Lowery,G,Jr.,5-11,"Sacramento, Calif.",Saint Mary's,,https://pacifictigers.com/images/2025/10/20/Nyah_Lowery.png?width=80&quality=90,pacific
21,Daria Nestorov,G,So.,5-4,"Zrenjanin, Serbia",Gymnasium Kraljevo,,https://pacifictigers.com/images/2025/10/20/Daria_Nestorov.png?width=80&quality=90,pacific
23,Kenlee Durrill,G,R-So.,5-10,"Denver, Colo.",Flat Irons,,https://pacifictigers.com/images/2025/10/20/Kenlee_Durrill.png?width=80&quality=90,pacific
24,LaMiracle Lebon,F,Fr.,6-3,"Columbus, Miss.",Vanden HS,,https://pacifictigers.com/images/2025/10/20/LaMiracle_Lebon.png?width=80&quality=90,pacific
25,Winner Bartholomew,F,So.,6-1,"Abuja, Nigeria",,Rider,https://pacifictigers.com/images/2025/10/20/Winner_Bartholomew.png?width=80&quality=90,pacific
32,Tyla Fautua,F,So.,6-0,"Brisbane, Australia",Southern Districts Spartans,,https://pacifictigers.com/images/2025/10/20/Tyla_Fautua.png?width=80&quality=90,pacific